screening_id,pmid,year,journal,doi,_layer,biomaterial_category,specific_materials,fabrication_method,cell_type_used,cell_source,optical_transparency_reported,mechanical_testing_reported,biological_testing_reported,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,translational_readiness_level,benchmarking_relevance,main_outcomes,main_limitations,evidence_verification_level
PUBMED_0699,37539164,2023,Heliyon,10.1016/j.heliyon.2023.e17950,stroma,natural polysaccharide-protein composite hydrogel membrane,composite hydrogel with a sodium alginate (SA) fiber skeleton (for shape retention) and a gelatin surface modification (for water retention),"sodium alginate hydrogel fabricated with an internal fiber-skeleton structure to provide shape retention, then surface-modified with gelatin to improve water retention; light transmittance, water retention rate, swelling rate, and tensile mechanical properties characterized; keratinocytes exposed to material extract liquor to test cytocompatibility; human corneal stromal fibroblasts (HCSFs) isolated from donor lenticules and seeded onto the gel surface","keratinocytes (extract-liquor cytocompatibility test) and human corneal stromal fibroblasts (HCSFs, adhesion/spreading test)",human (HCSFs isolated from donor corneal lenticules); keratinocyte source/species not specified in abstract,yes,yes,yes,yes,no,no,no,early preclinical (in vitro),medium,"A sodium alginate fiber-skeleton hydrogel with a gelatin-modified surface achieved good cytocompatibility, favorable light transmittance/water-retention/swelling/tensile properties (as characterized, though not quantified in the abstract), and significantly improved adhesion and spreading of human corneal stromal fibroblasts compared to unmodified alginate hydrogel, supporting its potential as a corneal-equivalent scaffold material.","In vitro only, no ex vivo, animal, or clinical evaluation; abstract does not report specific numeric values for transmittance, water retention, swelling, or tensile properties despite stating these were characterized; keratinocyte species/source not specified.",abstract_only
PUBMED_0709,37731910,2023,Biomaterials and biosystems,10.1016/j.bbiosy.2023.100083,stroma,synthetic-natural composite electrospun nanofibrous scaffold,"oxygen-plasma surface-modified, aligned poly-epsilon-caprolactone (PCL) / silk fibroin (SF) nanofibrous scaffold, evaluated across multiple PCL:SF blend ratios with a 1:1 blend selected for in-depth study","PCL (10% wt/wt in chloroform) and SF (extracted from Bombyx mori cocoons) blended and electrospun onto a rotating mandrel to produce aligned nanofibrous scaffolds at varying PCL:SF ratios; scaffolds surface-modified via oxygen plasma treatment to improve hydrophilicity/cell interaction; blend ratio and plasma treatment optimized based on nanofibre alignment, mechanical characteristics, transparency, and in vitro cytocompatibility with human corneal stromal keratocytes, with a 1:1 PCL:SF blend selected for comprehensive follow-up analysis (adhesion, proliferation, cytoskeletal organization, gene expression, immunocytochemistry)",human corneal stromal keratocytes,human (corneal stromal keratocytes),yes,yes,yes,yes,no,no,no,early preclinical (in vitro),medium,"An oxygen-plasma-modified, aligned electrospun PCL/silk-fibroin nanofibrous scaffold (optimal 1:1 blend ratio) improved scaffold transparency and cell interaction relative to unmodified scaffolds, and supported adhesion, proliferation, normal cytoskeletal organization, and increased expression of healthy-keratocyte-associated genes in human corneal stromal keratocytes -- supporting its potential as a non-mammalian-collagen-free scaffold material for corneal stromal regeneration.","In vitro only, no ex vivo, animal, or clinical evaluation; no specific numeric transmittance or tensile mechanical values found in the retrieved abstract/introduction text (full methods/results sections may contain quantitative data not captured here); long-term degradation and in vivo biocompatibility not assessed.",full_text_verified
PUBMED_0719,37866722,2023,Acta biomaterialia,10.1016/j.actbio.2023.10.020,stroma,"double-crosslinked nanocellulose-reinforced, drug-eluting natural-polymer (collagen) hydrogel","porcine skin collagen hydrogel reinforced with cellulose nanofibers extracted from the sea invertebrate Ciona intestinalis, double chemically and photochemically crosslinked, and loaded with the corticosteroid dexamethasone","porcine skin collagen combined with Ciona intestinalis-derived cellulose nanofibers and subjected to sequential chemical and photochemical crosslinking (double crosslinking); dexamethasone loaded into the resulting matrix; in vitro drug release measured over 60 days; anti-inflammatory bioactivity assessed via tube-formation/migration assays on TNF-alpha-stimulated vascular endothelial cells and pro-inflammatory cytokine (CCL2, CXCL5) suppression in TNF-alpha-stimulated human corneal epithelial cells; implanted intra-stromally in 12 New Zealand white rabbit corneas subjected to an inflammatory suture stimulus and followed for 8 weeks","human corneal epithelial cells (TNF-alpha-stimulated cytokine assay) and vascular endothelial cells (TNF-alpha-stimulated tube-formation/migration assay), used for in vitro bioactivity testing rather than structural cell seeding",human corneal epithelial cells and vascular endothelial cells (in vitro assay lines/primary cells; exact species/source not further specified in the retrieved abstract beyond 'human corneal epithelial'),yes,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A double chemically/photochemically crosslinked, Ciona intestinalis nanocellulose-reinforced porcine collagen hydrogel loaded with dexamethasone maintained high optical transparency and significantly improved mechanical characteristics over non-reinforced hydrogels, released dexamethasone over 60 days in vitro while retaining anti-inflammatory bioactivity (suppressing endothelial tube formation/migration and epithelial CCL2/CXCL5 expression), and when implanted intra-stromally in an 8-week rabbit inflammatory-suture model (n=12), suppressed TNF-alpha, MMP-9, and leukocyte/fibroblast invasion, reducing corneal haze and vessel invasion while sustaining corneal thickness and stromal morphology -- supporting its use as a combined structural and anti-inflammatory drug-eluting corneal stromal implant, particularly relevant for resource-limited settings with suboptimal postoperative drug compliance.","No quantitative numeric values given in the retrieved abstract for optical transmittance, mechanical modulus/tensile strength, or magnitude of cytokine/haze reduction, despite significant-effect claims; rabbit (not primate/human) in vivo model with an induced inflammatory suture stimulus that may not fully replicate clinical corneal disease heterogeneity; long-term (beyond 8-week) durability, degradation, and integration outcomes not reported.",abstract_only
PUBMED_0821,39328788,2024,Materials today. Bio,10.1016/j.mtbio.2024.101241,stroma,decellularized xenogeneic (porcine) corneal stroma (acellular ECM scaffold),"porcine cornea decellularized by a modified high hydrostatic pressure (HHP) method (600 MPa, 15% glycerol pressure medium), producing a 'transparent decellularized cornea' retaining native collagen type I, GAGs, and Descemet's membrane (collagen IV)",fresh porcine corneas processed by detergent-free HHP decellularization; hydrostatic pressure (200-1000 MPa) and glycerol concentration (0-30%) in the pressure medium optimized (600 MPa / 15% glycerol selected) to balance swelling ratio against light transmittance; dissected to 160 micron thickness via microkeratome for in vivo grafting,"porcine corneal endothelial cells (PCEnCs, primary, for in vitro recellularization); mouse L929 fibroblasts (cytotoxicity/extract assay only)","porcine (PCEnCs, primary, isolated from fresh porcine eye globes); mouse (L929, ATCC, cytotoxicity control only)",yes,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit; xenogeneic material already used in 3 NMPA-approved clinical decellularized corneal products per discussion, suggesting a credible path to clinical translation)",high,"A detergent-free, HHP-decellularized porcine cornea achieved near-native visible-light transmittance (86.4% vs. 92.3% untreated, comparable to fresh human cornea 87.1%) and preserved core matrisome proteins (2431 proteins identified, 91.7% ECM components) without post-decellularization glycerol/washing steps. The matrix supported endothelial cell recellularization with basement-membrane reconstruction, showed no in vivo cytotoxicity, and after rabbit interlamellar transplantation regained macroscopic transparency within 72 h and remained clear and well-integrated (haze grade 0.3, minimal CD68+ macrophage infiltration, no alpha-SMA+ myofibroblasts) over a 4-week follow-up.","Xenogeneic (porcine) source material carries immunogenicity/regulatory considerations for eventual human clinical use, even though this study reports low xeno-immune response short-term; in vivo follow-up limited to 4 weeks (authors cite prior unpublished 12-month data but it is not included in this study); refractive index slightly lower than native human cornea; PCEnC density after recellularization remained below native endothelial density.",full_text_verified
PUBMED_0871,39819884,2025,Biofabrication,10.1088/1758-5090/adab27,stroma,"synthetic-natural composite interpenetrating network (IPN) hydrogel, digital-light-processing (DLP) bioprinted","gelatin methacryloyl (GelMA) / oxidized carboxymethyl cellulose (OxiCMC) interpenetrating network hydrogel, dual-crosslinked (Schiff base reaction + photocrosslinking), with tartrazine used as a photoabsorber during printing","GelMA and OxiCMC combinations screened for printability and rheological gelation behavior; DLP bioprinting used (tartrazine photoabsorber) to biofabricate 3D constructs mimicking native corneal stromal curvature; dual crosslinking strategy (Schiff base + photocrosslinking) applied without synthetic polymers, toxic crosslinkers, or nanoparticles; human corneal keratocytes incorporated into the bioink",human corneal keratocytes,human (corneal keratocytes),yes,yes,yes,yes,no,no,no,early preclinical (in vitro),high,"A DLP-bioprinted GelMA/OxiCMC interpenetrating-network hydrogel achieved a compressive modulus (106.3 kPa) closely matching native corneal stroma (115.3 kPa), native-mimicking curvature/thickness geometry, native-comparable optical transparency after washing, and high keratocyte viability (>93%) with good proliferation -- all without synthetic polymers, toxic crosslinkers, or nanoparticles, positioning the dual-crosslinking IPN strategy as a promising biomimetic corneal stroma equivalent fabrication route.","In vitro only, no ex vivo, animal, or clinical evaluation; no numeric optical transmittance percentage given in abstract despite a qualitative transparency claim; long-term degradation, suturability, and surgical handling not assessed.",abstract_only
PUBMED_0877,39853921,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202411540,stroma,hybrid decellularized-scaffold/synthetic composite hydrogel (PEGDA-templated skeleton + human corneal ECM + GelMA adhesive),"humanized corneal stroma-like adhesive patches (HCSPs): polyethylene glycol diacrylate (PEGDA) cast and cured within decellularized porcine cornea (DPC) templates, then enzymatically digested to obtain hydrogel skeletons, which are integrated with human corneal extracellular matrix (ECM) and methacrylated gelatin (GelMA)","multi-step process: (1) PEGDA cast and cured within DPC templates to replicate native stromal ultrastructure; (2) DPC templates enzymatically digested away, leaving PEGDA hydrogel skeletons that retain the corneal stromal hierarchical architecture; (3) skeletons integrated with human corneal ECM and GelMA; adhesive bonding to host corneal stroma achieved by delivering the GelMA component at ocular surface temperature (37 degrees C) and curing via 405 nm light irradiation; evaluated in rabbit models of lamellar keratoplasty and microperforation repair",corneal epithelial cells and corneal stromal cells (in vitro survival/migration/phenotype-preservation assay; species not specified in the retrieved abstract),"not fully specified in abstract beyond 'corneal epithelial and stromal cells'; scaffold itself is human-ECM/porcine-template-derived, with cell-source species for the in vitro survival/migration assay not explicitly stated",yes,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"Humanized corneal stroma-like adhesive patches (HCSPs), fabricated by casting PEGDA within decellularized porcine cornea templates, digesting away the template to yield a hierarchical hydrogel skeleton, and integrating it with human corneal ECM and light-curable GelMA, replicated the ultrastructure, protein composition, and optical properties of human corneas with improved anti-swelling/anti-degradation performance versus conventional decellularized porcine corneas and recombinant human collagen patches; the light-cured adhesive interface enabled stable bonding to host stroma without sutures, supported corneal epithelial and stromal cell survival/migration with phenotype preservation in vitro, and in rabbit lamellar keratoplasty and microperforation repair models accelerated epithelial healing, minimized suture-associated complications, and maintained structural stability -- positioning HCSPs as a promising donor-free corneal substitute.","No quantitative transmittance, modulus, or swelling/degradation-rate values given in the retrieved abstract despite explicit comparative-improvement claims; species/source of the in vitro corneal epithelial and stromal cells not specified; rabbit (not primate/human) in vivo model; follow-up duration not specified; long-term integration, transparency stability, and immunogenicity of the porcine-template-derived skeleton component not reported.",abstract_only
PUBMED_0928,40395134,2025,Journal of materials chemistry. B,10.1039/d5tb00793c,stroma,decellularized xenogeneic (fish swim bladder) collagen matrix scaffold,"decellularized swim bladder collagen matrix (SBCM) scaffold, elastin-fiber-preserving, dehydrated and cross-linked","swim bladder tissue decellularized using a freezing-and-thawing process combined with 0.5% sodium deoxycholate and nuclease treatment, chosen specifically to preserve natural elastin fibers and enhance the scaffold's elastic properties; scaffold subsequently dehydrated and cross-linked, which increased light transmittance to 93.1 +/- 0.8% (slightly higher than human cornea) and further improved mechanical properties; recellularization tested in vitro with rabbit corneal epithelial cells (RCECs) and rabbit corneal stromal cells (RCSCs); subcutaneous implantation performed in vivo to assess inflammatory response and anti-degradation ability versus human amniotic membrane",rabbit corneal epithelial cells (RCECs) and rabbit corneal stromal cells (RCSCs),"rabbit (corneal epithelial and stromal cells, source not further specified as primary vs. cell line in the retrieved abstract)",yes,yes,yes,yes,no,yes,no,early preclinical (in vitro plus subcutaneous animal model; not yet an orthotopic corneal implantation study),high,"A decellularized fish swim bladder collagen matrix scaffold (SBCM), processed via a freeze-thaw/sodium-deoxycholate/nuclease protocol designed to preserve natural elastin fibers, achieved light transmittance of 93.1 +/- 0.8% (slightly exceeding human cornea) and strong mechanical performance (circumferential fracture tensile stress 25.66 +/- 4.42 MPa, elastic modulus 184.43 +/- 23.27 MPa, suture strength 123.5 +/- 2.69 gf) after dehydration/cross-linking, exceeding most previously reported biocorneal scaffolds; it supported rabbit corneal epithelial and stromal cell proliferation/adhesion in vitro, and subcutaneous implantation showed a lower acute inflammatory response and better anti-degradation ability than clinically used human amniotic membrane -- positioning decellularized swim bladder as a novel, elastic, highly transparent, and mechanically robust candidate corneal scaffold material.","No orthotopic (in-eye) corneal implantation was performed in this study -- the only in vivo evidence is subcutaneous implantation for inflammatory-response/anti-degradation assessment, so functional corneal transparency, suture retention, and integration in an actual corneal defect model remain undemonstrated; fish species used for the swim bladder source is not specified in the retrieved abstract; xenogeneic (non-mammalian) tissue source carries unique immunogenicity/regulatory considerations not addressed in the abstract; no human corneal comparator numeric transmittance value given for direct statistical comparison.",abstract_only
PUBMED_0947,40613723,2025,Nanoscale,10.1039/d5nr01312g,stroma,inorganic 2D-nanomaterial composite scaffold (graphene oxide / MXene),"graphene oxide (GO) / niobium carbide MXene (Nb2C) composite nanocomposite scaffold, intended as a full artificial-cornea material",GO and Nb2C MXene combined into a composite nanocomposite scaffold; physical characterization by nanoindentation (mechanical properties) and long-term corrosion assays combined with atomic force microscopy and scanning electron microscopy; in vitro cytocompatibility evaluated with human corneal stromal cells; in vivo evaluation via implantation in normal rabbit corneas and in a rabbit corneal alkali-burn injury model,human corneal stromal cells,human (corneal stromal cells),unclear / not reported in abstract,yes,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",medium,"A graphene oxide/niobium carbide MXene (GO/Nb2C) nanocomposite scaffold combined high mechanical strength and corrosion resistance (by nanoindentation/AFM/SEM) with strong in vitro cytocompatibility for human corneal stromal cells and favorable in vivo biocompatibility in rabbit corneas, including negative fibrosis markers (Hsp47, FN, alpha-SMA), downregulated inflammatory cytokines (IL-2, IL-6) and oxidative stress, and reduced CD11b+ inflammatory cell infiltration in an alkali-burn injury model -- supporting its potential as a functional scaffold material for artificial corneas with intrinsic antioxidative and anti-inflammatory activity.","No quantitative optical transparency data reported despite this being essential for a functional artificial cornea; specific numeric values for mechanical strength, corrosion rate, and cell survival/proliferation percentages not given in the retrieved abstract; rabbit (not human) in vivo model; the material is an inorganic 2D-nanomaterial composite rather than a biologically native/biomimetic scaffold, raising long-term biodegradation/clearance questions not addressed in the abstract.",abstract_only
PUBMED_0990,41073348,2025,ACS biomaterials science & engineering,10.1021/acsbiomaterials.5c01309,stroma,decellularized human tissue-derived drug-eluting graft (biological carrier + immunosuppressant),"decellularized human corneal stromal lenticules (donor-derived, from refractive surgery) loaded with rapamycin (RAPA) solubilized using a deep eutectic solvent (DES) delivery system; grafts tested up to 1% RAPA loading","human stromal lenticules decellularized, then loaded with rapamycin solubilized via deep eutectic solvents to enable interlamellar corneal implantation; drug incorporation evaluated for effects on lenticule transparency, biomechanical strength, biocompatibility, and in vitro drug release kinetics; 1% RAPA-loaded grafts implanted via interstromal transplantation into rabbit corneas",not applicable (acellular decellularized biological carrier; no exogenous cells seeded); host-mediated nerve regeneration into the graft assessed via neuronal markers post-implantation,not applicable / decellularized acellular human donor tissue,yes,partial,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"Decellularized human stromal lenticules loaded with rapamycin via a deep-eutectic-solvent delivery strategy achieved sustained drug release (>35 days in vitro), maintained near-native transparency and enhanced biomechanical strength/biocompatibility versus unmodified lenticules, and after interstromal implantation into rabbit corneas preserved corneal clarity for over a month without observable immune rejection, while also supporting host nerve regeneration into the graft (confirmed by neuronal marker histology) -- positioning the construct as a dual-function immunomodulatory and pro-regenerative corneal biomaterial with, per the authors, strong potential for clinical translation.","Rabbit (not primate/human) in vivo model; follow-up limited to just over 1 month, insufficient to establish long-term immunomodulatory durability or late rejection risk; relies on human donor stromal lenticule tissue (from refractive surgery byproduct) rather than a fully synthetic or unlimited-supply scaffold, so donor-tissue supply constraints are only partially mitigated; no numeric transmittance or tensile mechanical values given in the retrieved abstract despite qualitative claims of comparability/enhancement.",abstract_only
PUBMED_1083,38513048,2024,ACS Applied Materials & Interfaces,10.1021/acsami.3c17803,stroma,cell-derived extracellular matrix (dECM) bioink,"human adipose stem cell-derived corneal stromal keratocyte (hASC-CSK) decellularized ECM, formulated as a corneal stroma-specific bioink","hASC differentiation toward corneal stromal keratocytes (14 days), ECM collection and decellularization, formulated into bioink, 3D bioprinted",human adipose stem cell-derived corneal stromal keratocytes (hASC-CSKs),human adipose tissue-derived stem cells (donor-cornea-independent source),yes,yes,yes,yes,no,no,no,early preclinical (in vitro); clinically-precedented cell source (hASCs already used in corneal stromal clinical trials) is a translational strength,high,"Donor-cornea-free, cornea-specific ECM engineered from human adipose stem cells differentiated into stromal keratocytes; used as a bioink component for 3D-printed corneal stroma structures with good printability, shape fidelity, low immunogenicity, adequate transparency, and good postprinting cell viability.","In vitro only, no animal or clinical validation of the bioprinted construct; transparency reported qualitatively, not as numeric transmittance; conflict of interest disclosed (pending patent on the bioink).",abstract_plus_figures
PUBMED_0038,29495264,2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8020124,multiple_layers,synthetic-natural composite electrospun nanofibrous scaffold,"aligned polyvinyl alcohol (PVA) / collagen (PVA-COL) composite nanofibrous electrospun scaffold (note: abstract text says 'polyvinyl acetate' in one location but the scaffold abbreviation and corneal-biomaterials literature context indicate polyvinyl alcohol, PVA, the standard collagen-blending electrospinning polymer)","collagen and PVA mixed and electrospun to produce aligned and random nanofibrous PVA-COL composite scaffolds; PVA blended in specifically to reinforce the mechanical strength of the collagen electrospun scaffold, addressing the known poor-mechanical-property limitation of pure electrospun collagen scaffolds for surgical suturing; human keratocytes (HKs) and human corneal epithelial cells (HCECs) inoculated onto both aligned and random scaffold variants",human keratocytes (HKs) and human corneal epithelial cells (HCECs),human (keratocytes and corneal epithelial cells),unclear / not reported in abstract,partial,yes,yes,no,no,no,early preclinical (in vitro),medium,"An aligned PVA/collagen composite electrospun nanofibrous scaffold, designed to overcome the mechanical weakness of pure electrospun collagen scaffolds, supported good adhesion and proliferation of both human keratocytes and human corneal epithelial cells, with fiber alignment specifically inducing orderly keratocyte growth -- supporting the scaffold's suitability as a mechanically reinforced tissue-engineered cornea substrate capable of co-supporting both stromal and epithelial cell types.","In vitro only, no ex vivo, animal, or clinical evaluation; no quantitative mechanical (tensile strength/modulus) or optical transmittance values given in the retrieved abstract despite these being the stated design targets; suturability specifically claimed as the motivation but not directly tested/quantified in the abstract.",abstract_only
PUBMED_0049,29637812,2018,Cell transplantation,10.1177/0963689717741140,multiple_layers,"cultivated non-corneal (oral mucosal) epithelial cell sheet, support-free/carrier-free graft","cultured oral mucosal epithelium (COME) cell sheets, detached from culture dishes using enzymatic methods (dispase or collagenase at varying concentrations) versus enzyme-free mechanical detachment, intended for grafting without a carrier support or sutures","autologous oral mucosal epithelial cells cultured to confluence; detachment methods compared: dispase (5 mg/mL) and collagenase (0.5 mg/mL, selected concentration) enzymatic treatments versus enzyme-free mechanical detachment; detached COME sheets characterized for basement-membrane adhesion markers (laminin-332, beta1-integrin, type VII collagen) and junctional markers (E-cadherin, P-cadherin) by immunofluorescence and Western blot; selected method (collagenase 0.5 mg/mL) validated by grafting the detached COME sheet onto a newly developed ex vivo de-epithelialized porcine corneal stroma model for 15 days",autologous oral mucosal epithelial cells (cultured epithelial sheet),human (autologous oral mucosal epithelium),unclear / not reported in abstract,partial,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo),medium,"Among three cultivated oral mucosal epithelial (COME) sheet detachment methods (dispase, collagenase, enzyme-free mechanical), collagenase at 0.5 mg/mL gave the most reproducible detachment (100% success vs. 33% for dispase) while preserving basement-membrane and junctional adhesion marker expression equivalent to the other methods; collagenase-detached, carrier-free COME sheets grafted onto a novel ex vivo de-epithelialized porcine corneal stroma model successfully adhered, stratified, and sustained epithelial renewal over 15 days, supporting collagenase detachment as the preferred method for suture-free, support-free COME grafting in bilateral limbal stem cell deficiency treatment.","Ex vivo porcine stroma model only, no live animal or human clinical grafting; no quantitative adhesion-strength or transparency data; long-term (beyond 15 days) graft stability and functional visual outcomes not assessed in this study.",abstract_only
PUBMED_0144,30918800,2019,International journal of ophthalmology,10.18240/ijo.2019.03.01,multiple_layers,"decellularized xenogeneic (porcine) corneal matrix, recellularized with multiple human corneal cell types across all three layers","anterior acellular porcine corneal matrix (AAPCM), compared against posterior-APCM (PAPCM), both derived from decellularized porcine cornea; recellularized with human corneal epithelial cells, keratocytes, and endothelial cells","porcine cornea decellularized to produce APCM; anterior (AAPCM) and posterior (PAPCM) portions biomechanically compared by uniaxial tensile testing, with AAPCM selected as the superior scaffold; a custom suspending-ring device (fabricated by deforming an acupuncture needle) combined with a 48-well plate and culture medium to create a novel 3D organ co-culture system; human corneal cells (epithelial, keratocyte, endothelial) co-cultured with AAPCM in this organ-culture system to build a full-thickness human corneal substitute; construct then tested surgically via penetrating keratoplasty (PKP) with clinical follow-up observation","human corneal epithelial cells, human keratocytes, and human corneal endothelial cells (all three native corneal cell types)","human (corneal epithelial, stromal, and endothelial cells, cultured)",yes,yes,yes,yes,yes,no,no,early preclinical (ex vivo organ-culture model with surgical handling validation),high,"Using a novel suspending-ring-based 3D organ co-culture system, a full-thickness human corneal substitute was successfully constructed from anterior acellular porcine corneal matrix (AAPCM, biomechanically superior to posterior-APCM) recellularized with human epithelial cells, keratocytes, and endothelial cells, each forming histoarchitecturally normal layers (stratified CK3+ epithelium, vimentin+ keratocytes, Na+/K+-ATPase+ endothelium with tight junctions); the construct withstood penetrating keratoplasty surgical handling and regained near-complete transparency within 7 days post-surgery.","Ex vivo/organ-culture evaluation only, no live animal implantation or clinical human transplantation; xenogeneic (porcine) scaffold source carries immunogenicity considerations for eventual clinical translation; no quantitative biomechanical (tensile strength/modulus) or optical transmittance values given in the retrieved abstract despite qualitative claims of comparability and functional restoration; short (7-day) follow-up window.",abstract_only
PUBMED_0145,30938102,2019,Journal of tissue engineering and regenerative medicine,10.1002/term.2853,multiple_layers,"crosslinked recombinant human collagen III hydrogel, used as a full-thickness corneal substitute graft","recombinant human collagen III hydrogels crosslinked with two different carbodiimide chemistries: nonbulky EDC-NHS (1-ethyl-3-(3-dimethylamino-propyl)-carbodiimide hydrochloride with N-hydroxysuccinimide) versus sterically bulky, aromatic CMC-NHS (N-cyclohexyl-N'-(2-morpholinoethyl)-carbodiimide with N-hydroxysuccinimide)","recombinant human collagen III hydrogels crosslinked using either EDC-NHS or bulky CMC-NHS chemistry; hydrogels implanted as full-thickness corneal grafts in a mouse model; immunohistochemistry performed on resulting retro-corneal membranes (RCM) for corneal epithelial cytokeratin 12, alpha-smooth muscle actin, and CD11c+ dendritic cell (DC) infiltration; tenascin c expression quantified; parallel in vitro DC-fibroblast coculture experiments performed with TGF-beta1 or lipopolysaccharide (LPS) stimulation, including TGF-beta1 neutralization controls","host-derived cells infiltrating post-implantation (corneal epithelial cells, CD11c+ dendritic cells, fibroblasts); in vitro dendritic cell-fibroblast cocultures",host (murine) tissue infiltration for the in vivo component; in vitro DC/fibroblast coculture source not further specified beyond the murine system,yes,no / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, mouse)",medium,"Full-thickness implantation of recombinant collagen III hydrogels in a mouse corneal graft model triggers retro-corneal-membrane-associated opacity accompanied by tissue-regeneration markers, with crosslinking chemistry (EDC-NHS vs. bulky CMC-NHS) shaping the innate immune response: EDC-NHS hydrogels drive greater CD11c+ dendritic cell infiltration and fibrosis-associated tenascin c expression than the more DC-tolerizing CMC-NHS hydrogels; mechanistically, TGF-beta1-alternatively-activated (tolerizing) dendritic cells appear to regulate fibroblast tenascin c secretion (partly via intercellular membrane nanotubes), linking hydrogel crosslinking chemistry to downstream fibrotic wound-contraction outcomes.","Mouse (not human) model only, with no clinical evidence; no mechanical or numeric optical-transmittance quantification; opacity (RCM) formation occurred in both crosslinking-chemistry groups, indicating neither fully avoided the fibrotic/inflammatory response and differed only in degree; precise sample sizes and follow-up timepoints not given in the retrieved abstract.",abstract_only
PUBMED_0387,33542377,2021,Scientific reports,10.1038/s41598-021-82678-3,multiple_layers,decellularized allogeneic (human donor) corneal scaffold,"human donor corneal extracellular matrix (ECM) scaffold, decellularized using sodium deoxycholate and deoxyribonuclease I (DNase I), with dextran used to control tissue swelling","human donor corneas treated with sodium deoxycholate (detergent) and DNase I to remove cells and nuclei, with dextran included to control osmotic tissue swelling during processing; decellularization effects evaluated on ultrastructure, optical, mechanical, and biological properties; recellularization studied using primary human limbal epithelial cells, stromal cells, and melanocytes in vitro, and via a lamellar transplantation approach ex vivo","primary human limbal epithelial cells, corneal stromal cells, and melanocytes","human (primary limbal epithelial cells, stromal cells, and melanocytes)",yes,yes,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo),high,"A fast, efficient decellularization protocol (sodium deoxycholate + DNase I, with dextran-controlled swelling) produced a human corneal ECM scaffold with effective removal of cellular/nuclear material while preserving ECM proteins, GAGs, tissue structure, and optical transmission properties; the scaffold showed good biocompatibility upon in vitro recellularization with primary human limbal epithelial cells, stromal cells, and melanocytes, and achieved complete epithelialization and stromal repopulation from host tissue in an ex vivo lamellar transplantation model -- supporting its promise as a non-immunogenic biological material for anterior corneal surface reconstruction.","Ex vivo transplantation evaluation only, no live animal implantation or human clinical transplantation; no quantitative transmittance, tensile, or GAG/dsDNA content values given in the retrieved abstract despite qualitative preservation claims; relies on allogeneic human donor tissue supply (same scarcity problem the scaffold aims to mitigate, though decellularization may improve immunogenicity/compatibility versus fresh allografts); follow-up duration for ex vivo repopulation not specified.",abstract_only
PUBMED_0468,34537415,2022,The ocular surface,10.1016/j.jtos.2021.09.002,multiple_layers,supramolecular (non-covalent host-guest) natural-polymer hydrogel,hyaluronic acid (HA)-based supramolecular hydrogel formed via non-covalent host-guest interactions between HA-cyclodextrin (host) and HA-adamantane (guest) conjugates,"HA independently conjugated with cyclodextrin (host) and adamantane (guest) moieties; the two HA derivatives combined to self-assemble into a shear-thinning hydrogel via supramolecular host-guest (non-covalent) interactions, avoiding chemical crosslinkers associated with toxicity; hydrogel evaluated ex vivo for encapsulated human corneal epithelial cell adhesion/spreading and in vivo as an in situ-formed, acellular therapeutic membrane for corneal wound healing","human corneal epithelial cells (encapsulated, ex vivo adhesion/spreading assay); no exogenous cells in the in vivo acellular membrane arm","human (corneal epithelial cells, ex vivo assay only)",unclear / not reported in abstract,partial,yes,no,yes,yes,no,preclinical (ex vivo + animal model),medium,"A supramolecular (non-covalent host-guest) hyaluronic acid hydrogel, formed without chemical crosslinkers, facilitated corneal epithelial cell adhesion/spreading ex vivo and, applied in vivo as an acellular, in situ-formed therapeutic membrane, improved corneal wound healing by being gradually absorbed into the stroma, modulating the stromal cell secretome, reducing anterior stromal cellularity/inflammation, and significantly mitigating corneal edema compared to linear HA and untreated controls -- supporting the platform's promise as a crosslinker-toxicity-free, versatile biomaterial for corneal wound healing.","No quantitative transmittance, mechanical modulus, or numeric edema/inflammation reduction values given in the retrieved abstract despite significant-effect claims; in vivo follow-up duration and animal model species not specified in the retrieved abstract; acellular/therapeutic-membrane approach rather than a structural tissue-replacement scaffold, so relevance is to wound-healing modulation rather than stromal volume replacement.",abstract_only
